scheduled_days,distance_km,order_volume,processing_time,weather_rain,peak_traffic,day_of_week,is_weekend,month,is_holiday_season,distance_category,risk_level
4,146.3340021658297,1.960000001,1.4363502971184063,0,0,2,0,1,0,1,0
4,598.886189289381,1.949999999,2.87678576602479,1,0,5,1,1,0,2,1
4,268.3069484533897,1.940000001,2.329984854528513,0,0,5,1,1,0,1,1
4,110.68852901733575,1.93,1.9966462104925915,0,0,5,1,1,0,1,0
4,458.5073792389658,1.909999996,0.8900466011060912,0,0,5,1,1,0,1,0
4,550.0418502598035,1.899999999,0.8899863008405067,0,0,5,1,1,0,2,1
1,707.6059577397358,1.8800000030000001,0.6452090304204987,0,0,5,1,1,0,2,2
1,422.1607992784608,1.870000005,2.665440364437338,1,0,5,1,1,0,1,2
2,170.34080114187523,1.849999994,2.002787529358022,0,0,5,1,1,0,1,0
1,231.5670754410778,1.840000004,2.2701814444901136,0,0,5,1,1,0,1,1
2,594.178742933465,1.829999998,0.5514612357395061,0,0,5,1,1,0,2,2
2,564.1554799422678,1.8199999930000001,2.9247746304049858,1,1,5,1,1,0,2,2
2,437.78552818321185,1.799999997,2.5811066020010545,1,1,5,1,1,0,1,2
1,320.8066120879542,1.75,1.0308477766956905,0,1,5,1,1,0,1,2
1,534.6794723209894,2.0,0.9545624180177515,0,1,5,1,1,0,2,2
1,409.28644845965806,1.99,0.9585112746335845,0,1,5,1,1,0,1,2
2,406.2645901391433,1.98,1.2606056073988443,0,1,5,1,1,0,1,2
1,246.71518920299124,1.970000001,1.8118910790805947,0,0,5,1,1,0,1,2
1,487.3436268473594,1.960000001,1.5798625466052894,0,0,5,1,1,0,1,2
0,245.48990269978677,1.949999999,1.2280728504951048,0,0,5,1,1,0,1,2
0,344.07219912802174,1.940000001,2.0296322368059485,0,0,5,1,1,0,1,2
4,599.0309581051799,1.93,0.8487346516301046,0,0,5,1,1,0,2,1
2,259.4034644574604,1.909999996,1.2303616213380453,0,0,5,1,1,0,1,1
2,415.77856982134784,1.899999999,1.4159046082342293,0,0,5,1,1,0,1,1
2,70.81120842738183,1.8800000030000001,1.64017496054259,0,0,5,1,1,0,0,0
2,371.50395632633877,1.870000005,2.462939903482534,0,0,5,1,1,0,1,1
2,406.45490837088624,1.849999994,0.9991844553958993,0,0,5,1,1,0,1,1
4,36.52386866140874,1.840000004,1.785586096034029,0,0,5,1,1,0,0,0
4,124.64934797672403,1.829999998,1.9810364221551062,0,0,5,1,1,0,1,0
4,540.6492871456753,1.8199999930000001,0.6161260317999944,0,0,5,1,1,0,2,1
4,347.9150051971645,1.799999997,2.018862129753596,0,0,5,1,1,0,1,0
4,424.08197658698737,1.75,0.9263103092182288,0,0,5,1,1,0,1,1
